Date,Race
5,40
32,60
34,40
52,60
68,60
72,60
86,40
90,60
94,40
95,60
100,60
107,60
107,255
111,60
116,40
116,60
116,60
116,60
117,60
117,60
121,60
123,10
125,60
125,60
130,40
133,60
135,60
137,60
139,10
142,60
142,60
143,40
145,60
159,60
165,60
166,10
167,60
167,10
173,60
185,10
205,60
206,60
207,60
207,60
207,60
208,40
208,10
214,255
221,40
238,60
242,10
243,10
243,30
249,60
257,60
261,60
269,10
276,60
307,60
307,60
325,60
335,10
390,10
390,60
394,60
397,10
404,60
417,60
418,60
423,40
426,60
431,60
436,10
438,10
446,60
453,60
458,60
458,60
458,60
459,60
460,60
465,40
468,60
472,60
472,60
475,10
480,60
480,60
480,60
489,60
494,60
520,60
531,60
535,60
536,60
536,60
536,60
541,60
541,60
542,60
543,10
544,60
548,60
558,10
563,60
572,60
573,60
576,10
585,60
597,60
603,60
618,60
618,10
621,40
643,30
654,60
656,60
667,60
677,60
697,60
704,40
731,10
740,60
761,60
765,10
769,60
781,60
815,60
821,60
828,10
835,60
837,60
849,10
849,10
856,60
856,60
859,60
866,60
867,60
873,60
879,60
885,60
898,10
898,60
898,10
899,60
902,40
906,10
906,60
907,60
912,30
919,60
919,60
919,60
922,60
926,40
929,60
929,60
934,60
941,10
942,60
947,40
949,60
954,40
961,10
963,10
969,60
977,60
982,10
982,60
983,10
1013,20
1027,60
1056,60
1089,10
1125,60
1129,30
1146,40
1151,250
1153,60
1178,60
1209,40
1215,10
1220,10
1220,60
1251,60
1252,40
1263,60
1273,60
1279,60
1283,60
1287,10
1291,60
1292,60
1292,10
1293,40
1296,30
1299,60
1299,60
1305,60
1312,40
1328,60
1343,60
1349,60
1374,60
1383,60
1388,60
1391,60
1392,60
1392,60
1395,60
1404,40
1405,40
1425,60
1431,50
1432,60
1432,60
1438,60
1440,60
1445,40
1451,40
1472,60
1473,60
1482,60
1486,60
1487,60
1489,60
1495,60
1511,40
1516,60
1535,60
1538,60
1543,40
1546,60
1559,60
1566,60
1577,10
1578,10
1578,60
1587,60
1595,40
1614,60
1626,30
1676,10
1684,60
1691,60
1704,40
1706,40
1714,60
1718,60
1718,60
1721,10
1721,60
1740,10
1755,60
1766,60
1775,10
1780,10
1795,60
1801,60
1810,60
1825,60
1830,60
1833,60
1837,60
1838,60
1840,60
1852,60
1853,40
1853,10
1861,40
1887,60
1889,10
1903,60
1908,40
1923,60
1938,60
1944,60
1950,60
1956,60
1959,40
1962,60
1969,40
2005,40
2014,60
2019,40
2033,60
2054,60
2069,60
2097,60
2103,40
2126,60
2137,60
2139,10
2152,60
2173,10
2182,10
2196,60
2210,10
2217,60
2218,60
2236,40
2251,10
2259,60
2263,60
2273,40
2333,60
2347,40
2358,10
2370,10
2372,60
2425,60
2441,10
2446,60
2452,40
2460,40
2481,60
2497,10
2502,60
2503,60
2505,60
2510,60
2510,60
2523,40
2553,10
2560,10
2566,60
2572,60
2581,60
2595,60
2595,10
2602,60
2630,10
2637,10
2637,10
2651,60
2651,60
2657,60
2658,60
2662,60
2662,60
2669,40
2690,60
2693,60
2699,10
2711,60
2712,60
2720,60
2720,60
2727,40
2734,60
2790,60
2795,255
2796,60
2804,10
2811,10
2823,60
2824,60
2839,60
2840,60
2846,40
2851,60
2851,60
2859,40
2901,40
2909,60
2910,255
2928,60
2932,60
2935,60
2935,60
2943,10
2950,40
2951,60
2952,60
2952,60
2953,60
2957,40
2966,60
2979,60
2984,60
2994,10
3001,60
3013,60
3145,60
3216,60
3224,10
3261,40
3313,40
3329,60
3341,60
3377,60
3433,60
3464,60
3471,60
3527,60
3553,40
